Index;SongName;Artist;Genre;Popularity;Danceability;Energy;Valence;Var9;Var10
136;Take Me To Church;Hozier;['irish singer-songwriter', 'modern rock', 'pop'];74;0.566;0.664;0.437;1;91
1422;Baby;Joker Bra, VIZE;['german hip hop'];63;0.771;0.921;0.56;2;91
1315;Ayy Macarena;Tyga;['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'];74;0.816;0.629;0.714;2;90
274;Savage Love (Laxed - Siren Beat);Jawsh 685, Jason Derulo;['nz pop'];82;0.767;0.481;0.761;2;94
41;Miénteme;TINI, Maria Becerra;['latin pop', 'pop argentino'];90;0.85;0.541;0.916;2;33
583;Diamonds;Sam Smith;['dance pop', 'pop', 'post-teen pop', 'uk pop'];77;0.653;0.667;0.556;2;90
1290;TOES (feat. Lil Baby & Moneybagg Yo);DaBaby;['north carolina hip hop', 'rap'];73;0.816;0.582;0.542;1;80
1;Beggin';Måneskin;['indie rock italiano', 'italian pop'];100;0.714;0.8;0.589;2;95
34;Pareja Del Año;Sebastian Yatra, Myke Towers;['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano'];91;0.715;0.622;0.808;2;80
272;MILLE (feat. Orietta Berti);Fedez, Achille Lauro;['italian adult pop', 'italian pop'];82;0.527;0.764;0.829;2;80
570;Mi Cuarto;Jerry Di;['cubaton', 'dominican pop', 'pop venezolano', 'reggaeton', 'reggaeton flow', 'trap latino'];76;0.854;0.525;0.63;2;77
792;nasty;Ariana Grande;['dance pop', 'pop', 'post-teen pop'];69;0.772;0.506;0.456;1;77
1007;Up Up And Away;Juice WRLD;['chicago rap', 'melodic rap'];72;0.661;0.665;0.486;1;80
1313;The Other Side (from Trolls World Tour);SZA, Justin Timberlake;['pop', 'pop rap', 'r&b'];68;0.76;0.607;0.709;2;75
508;Life's A Mess II (with Clever & Post Malone);Juice WRLD;['chicago rap', 'melodic rap'];72;0.53;0.37;0.701;2;74
445;Don’t You (Taylor’s Version) (From The Vault);Taylor Swift;['pop', 'post-teen pop'];65;0.563;0.473;0.405;1;66
616;Tequila Shots;Kid Cudi;['hip hop', 'ohio hip hop', 'pop rap', 'rap'];74;0.712;0.556;0.22;1;66
1407;Get Me (feat. Kehlani);Justin Bieber;['canadian pop', 'pop', 'post-teen pop'];61;0.832;0.508;0.75;2;50
256;LUMBERJACK;Tyler, The Creator;['hip hop', 'rap'];76;0.386;0.762;0.433;1;45
20;Need To Know;Doja Cat;['dance pop', 'pop'];90;0.664;0.609;0.194;1;90
102;Reckless;Madison Beer;['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop'];86;0.386;0.426;0.261;1;22
125;you broke me first;Tate McRae;['alt z', 'dance pop', 'pop', 'post-teen pop'];86;0.667;0.373;0.823;2;21
187;Dior;Pop Smoke;['brooklyn drill'];83;0.548;0.805;0.648;2;8
231;Memory;Kane Brown, blackbear;['contemporary country', 'country road'];80;0.434;0.889;0.845;2;0
282;No Return (with The Kid LAROI & Lil Durk);Polo G;['chicago rap'];80;0.479;0.645;0.381;1;0
448;Dancing With The Devil;Demi Lovato;['dance pop', 'pop', 'post-teen pop'];66;0.413;0.64;0.149;1;0
493;Snowman;Sia;['australian dance', 'australian pop', 'dance pop', 'pop'];77;0.716;0.512;0.326;1;0
601;The Woo (feat. 50 Cent & Roddy Ricch);Pop Smoke;['brooklyn drill'];79;0.49;0.618;0.286;1;0
603;Warning;Morgan Wallen;['contemporary country'];68;0.633;0.664;0.268;1;0
606;Be Kind (with Halsey);Marshmello;['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house'];80;0.63;0.633;0.452;1;0
774;Sweet Melody;Little Mix;['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop'];73;0.448;0.824;0.419;1;0
781;Hasta Que Dios Diga;Anuel AA, Bad Bunny;['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino'];76;0.691;0.765;0.855;2;0
812;Highway to Hell;AC/DC;['australian rock', 'hard rock', 'rock'];83;0.574;0.913;0.423;1;0
977;mad woman;Taylor Swift;['pop', 'post-teen pop'];67;0.592;0.699;0.506;1;0
1000;Bad Energy;Juice WRLD;['chicago rap', 'melodic rap'];72;0.654;0.452;0.532;1;90
1011;Screw Juice;Juice WRLD;['chicago rap', 'melodic rap'];69;0.595;0.528;0.515;1;55
1012;Past Life (with Selena Gomez);Trevor Daniel;['alternative r&b', 'melodic rap', 'pop rap'];47;0.575;0.543;0.283;1;0
1172;Pain 1993 (with Playboi Carti);Drake;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];67;0.825;0.373;0.12;1;0
1284;Verde;J Balvin, Sky Rompiendo;['latin', 'reggaeton', 'reggaeton colombiano'];63;0.828;0.738;0.818;2;0
1286;Lo Mein;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];67;0.855;0.676;0.509;1;0
207;Manslaughter (feat. Rick Ross & The-Dream);Pop Smoke;['brooklyn drill'];55;0.441;0.623;0.285;1;0
292;We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song;Martin Garrix;['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house'];82;0.66;0.733;0.304;1;0
301;Black Hearted;Polo G;['chicago rap'];75;0.506;0.563;0.153;1;0
461;Off My Face;Justin Bieber;['canadian pop', 'pop', 'post-teen pop'];75;0.509;0.228;0.586;1;0
614;Azul;J Balvin;['latin', 'reggaeton', 'reggaeton colombiano'];77;0.843;0.836;0.65;2;0
821;Fake;Lauv, Conan Gray;['dance pop', 'electropop', 'pop', 'post-teen pop'];73;0.703;0.657;0.455;1;0
985;Blood On My Jeans;Juice WRLD;['chicago rap', 'melodic rap'];73;0.868;0.55;0.464;1;0
1018;TROLLZ (with Nicki Minaj);6ix9ine;['emo rap', 'rap'];65;0.744;0.422;0.493;1;0
1177;Be Something (feat. Lil Baby);Polo G;['chicago rap'];69;0.829;0.52;0.248;1;0
1288;Futsal Shuffle 2020 - Bonus Track;Lil Uzi Vert;['melodic rap', 'philly rap', 'rap', 'trap'];63;0.879;0.448;0.278;1;0
1423;One More Year;Tame Impala;['australian psych', 'neo-psychedelic'];56;0.602;0.88;0.493;2;0
2;STAY (with Justin Bieber);The Kid LAROI;['australian hip hop'];99;0.591;0.764;0.478;1;0
3;good 4 u;Olivia Rodrigo;['pop'];99;0.563;0.664;0.688;2;0
4;Bad Habits;Ed Sheeran;['pop', 'uk pop'];98;0.808;0.897;0.591;2;0
5;INDUSTRY BABY (feat. Jack Harlow);Lil Nas X;['lgbtq+ hip hop', 'pop rap'];96;0.736;0.704;0.894;2;0
6;MONTERO (Call Me By Your Name);Lil Nas X;['lgbtq+ hip hop', 'pop rap'];97;0.61;0.508;0.758;2;0
7;Kiss Me More (feat. SZA);Doja Cat;['dance pop', 'pop'];94;0.762;0.701;0.742;2;0
8;Todo De Ti;Rauw Alejandro;['puerto rican pop', 'trap latino'];95;0.78;0.718;0.342;1;0
9;Yonaguni;Bad Bunny;['latin', 'reggaeton', 'trap latino'];96;0.644;0.648;0.44;1;0
10;I WANNA BE YOUR SLAVE;Måneskin;['indie rock italiano', 'italian pop'];95;0.75;0.608;0.958;2;0
11;Levitating (feat. DaBaby);Dua Lipa;['dance pop', 'pop', 'uk pop'];89;0.702;0.825;0.915;2;0
12;Qué Más Pues?;J Balvin, Maria Becerra;['latin', 'reggaeton', 'reggaeton colombiano'];95;0.891;0.819;0.768;2;0
13;Permission to Dance;BTS;['k-pop', 'k-pop boy group'];95;0.702;0.741;0.646;2;0
14;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;['canadian pop', 'pop', 'post-teen pop'];94;0.677;0.696;0.464;1;0
15;Butter;BTS;['k-pop', 'k-pop boy group'];95;0.759;0.459;0.695;2;0
16;traitor;Olivia Rodrigo;['pop'];94;0.38;0.339;0.849;2;0
17;deja vu;Olivia Rodrigo;['pop'];93;0.442;0.612;0.178;1;0
18;Save Your Tears (with Ariana Grande) (Remix);The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];94;0.65;0.825;0.593;2;0
19;AM Remix;Nio Garcia, J Balvin, Bad Bunny;['latin', 'reggaeton', 'trap latino'];93;0.743;0.655;0.785;2;0
21;Volando - Remix;Mora, Bad Bunny, Sech;['reggaeton', 'trap latino'];91;0.659;0.688;0.632;2;0
22;Ain't Shit;Doja Cat;['dance pop', 'pop'];90;0.855;0.488;0.619;2;0
23;drivers license;Olivia Rodrigo;['pop'];92;0.561;0.431;0.137;1;0
24;Heat Waves;Glass Animals;['gauze pop', 'indietronica', 'shiver pop'];85;0.761;0.525;0.531;1;0
25;Blinding Lights;The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];92;0.514;0.73;0.334;1;0
26;happier;Olivia Rodrigo;['pop'];92;0.395;0.443;0.338;1;0
27;Pepas;Farruko;['latin', 'latin hip hop', 'reggaeton', 'trap latino'];92;0.762;0.766;0.442;1;0
28;Motley Crew;Post Malone;['dfw rap', 'melodic rap', 'rap'];90;0.797;0.631;0.288;1;0
29;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton, Nightcrawlers;['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance'];92;0.824;0.862;0.801;2;0
30;Astronaut In The Ocean;Masked Wolf;['australian hip hop'];89;0.778;0.695;0.472;1;0
31;Leave The Door Open;Bruno Mars, Anderson .Paak, Silk Sonic;['dance pop', 'pop', 'post-teen pop'];92;0.586;0.616;0.719;2;0
32;Don't Go Yet;Camila Cabello;['dance pop', 'electropop', 'pop', 'post-teen pop'];88;0.666;0.796;0.61;2;0
33;favorite crime;Olivia Rodrigo;['pop'];91;0.369;0.272;0.218;1;0
35;Watermelon Sugar;Harry Styles;['pop', 'post-teen pop'];90;0.548;0.816;0.557;2;0
37;RAPSTAR;Polo G;['chicago rap'];89;0.789;0.536;0.437;1;0
38;You Right;Doja Cat, The Weeknd;['dance pop', 'pop'];89;0.828;0.621;0.436;1;0
39;911 - Remix;Sech, Jhay Cortez;['latin', 'panamanian pop', 'reggaeton', 'trap latino'];89;0.816;0.71;0.784;2;0
40;DÁKITI;Bad Bunny, Jhay Cortez;['latin', 'reggaeton', 'trap latino'];86;0.731;0.573;0.145;1;0
42;jealousy, jealousy;Olivia Rodrigo;['pop'];90;0.695;0.575;0.699;2;0
43;Poblado - Remix;J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander;['latin', 'reggaeton', 'reggaeton colombiano'];89;0.813;0.809;0.646;2;0
44;Dynamite;BTS;['k-pop', 'k-pop boy group'];89;0.746;0.765;0.737;2;0
45;The Business;Tiësto;['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop dance', 'slap house', 'trance', 'tropical house'];90;0.798;0.62;0.235;1;0
46;Heartbreak Anthem (with David Guetta & Little Mix);Galantis;['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house'];89;0.595;0.784;0.479;1;0
47;Mood (feat. iann dior);24kGoldn;['cali rap'];89;0.701;0.716;0.732;2;0
48;Entre Nosotros;Tiago PZK, LIT killah;['trap argentino'];89;0.729;0.513;0.789;2;0
49;Fiel - Remix;Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers;['latin', 'latin hip hop', 'reggaeton', 'trap latino'];89;0.839;0.711;0.573;2;0
51;Nicky Jam: Bzrp Music Sessions, Vol. 41;Bizarrap, Nicky Jam;['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino'];88;0.627;0.849;0.818;2;0
53;NDA;Billie Eilish;['electropop', 'pop'];84;0.765;0.373;0.554;1;0
54;Rasputin;Majestic, Boney M.;['house', 'pop dance', 'uk dance'];49;0.83;0.839;0.59;2;0
55;Leave Before You Love Me (with Jonas Brothers);Marshmello;['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house'];89;0.721;0.738;0.637;2;0
56;Freaks;Surf Curse;['dreamo', 'indie surf', 'surf punk', 'vegas indie'];89;0.345;0.941;0.407;1;0
58;2/Catorce;Rauw Alejandro, Mr. Naisgai;['puerto rican pop', 'trap latino'];87;0.54;0.455;0.432;1;0
59;Beautiful Mistakes (feat. Megan Thee Stallion);Maroon 5;['pop', 'pop rock'];88;0.713;0.676;0.721;2;0
60;Run;OneRepublic;['dance pop', 'piano rock', 'pop', 'pop rock'];88;0.682;0.72;0.673;2;0
61;Thot Shit;Megan Thee Stallion;['houston rap', 'pop', 'pop rap', 'trap queen'];88;0.95;0.693;0.891;2;0
62;Your Love (9PM);ATB, Topic, A7S;['german dance', 'german techno', 'german trance', 'trance'];88;0.669;0.784;0.517;2;0
63;brutal;Olivia Rodrigo;['pop'];89;0.672;0.526;0.28;1;0
64;Save Your Tears;The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];94;0.65;0.825;0.593;2;0
65;Heartbreak Anniversary;Giveon;['pop', 'r&b'];87;0.449;0.465;0.543;1;0
68;Sweater Weather;The Neighbourhood;['modern alternative rock', 'modern rock', 'pop'];87;0.612;0.807;0.398;1;0
69;Sobrio;Maluma;['latin', 'reggaeton', 'reggaeton colombiano'];87;0.762;0.77;0.631;2;0
70;Someone You Loved;Lewis Capaldi;['pop', 'uk pop'];86;0.501;0.405;0.446;1;0
71;Over The Top (feat. Drake);Smiley;['canadian hip hop', 'toronto rap'];83;0.833;0.498;0.259;1;0
72;2055;Sleepy Hallow;['brooklyn drill', 'nyc rap'];85;0.829;0.512;0.638;2;0
73;EL MAKINON;KAROL G, Mariah Angeliq;['latin', 'reggaeton', 'reggaeton colombiano'];87;0.635;0.706;0.443;1;0
74;Loco;Justin Quiles, Chimbala, Zion & Lennox;['latin', 'reggaeton', 'trap latino'];87;0.77;0.899;0.851;2;0
75;Love Tonight - Edit;Shouse;['aussietronica'];87;0.727;0.681;0.448;1;0
76;ZITTI E BUONI;Måneskin;['indie rock italiano', 'italian pop'];86;0.625;0.939;0.644;2;0
77;telepatía;Kali Uchis;['colombian pop', 'pop'];88;0.653;0.524;0.553;1;0
78;Botella Tras Botella;Gera MX, Christian Nodal;['mexican hip hop', 'rap conciencia'];87;0.727;0.546;0.69;2;0
79;Fiel;Los Legendarios, Wisin, Jhay Cortez;['reggaeton', 'trap latino'];88;0.849;0.701;0.505;1;0
80;Dance Monkey;Tones And I;['australian pop', 'pop'];83;0.824;0.588;0.513;1;0
81;WITHOUT YOU;The Kid LAROI;['australian hip hop'];87;0.662;0.413;0.467;1;0
82;Wants and Needs (feat. Lil Baby);Drake;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];87;0.578;0.449;0.1;1;0
83;Bezos I;Bo Burnham;['comic'];84;0.694;0.948;0.705;2;0
85;Goosebumps - Remix;Travis Scott, HVME;['rap', 'slap house'];87;0.841;0.593;0.808;2;0
86;Head & Heart (feat. MNEK);Joel Corry;['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance'];87;0.734;0.874;0.905;2;0
87;BED;Joel Corry, RAYE, David Guetta;['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance'];87;0.671;0.782;0.618;2;0
88;Iko Iko (My Bestie);Justin Wellington, Small Jam;['melanesian pop', 'pacific islands pop', 'png pop'];87;0.862;0.753;0.827;2;0
89;Better Believe;Belly, The Weeknd, Young Thug;['canadian hip hop', 'canadian trap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'trap soul', 'underground hip hop'];80;0.797;0.573;0.445;1;0
90;Arcade;Duncan Laurence;['dutch pop'];84;0.45;0.329;0.266;1;0
91;512;Mora, Jhay Cortez;['reggaeton', 'trap latino'];87;0.818;0.673;0.695;2;0
92;positions;Ariana Grande;['dance pop', 'pop', 'post-teen pop'];86;0.737;0.802;0.682;2;0
93;Circles;Post Malone;['dfw rap', 'melodic rap', 'rap'];87;0.695;0.762;0.553;2;0
94;Blaues Licht;RAF Camora, Bonez MC;['german hip hop'];78;0.819;0.835;0.703;2;0
95;Ram Pam Pam;Natti Natasha, Becky G;['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino'];86;0.908;0.813;0.924;2;0
97;Woman;Doja Cat;['dance pop', 'pop'];86;0.824;0.764;0.881;2;0
98;t r a n s p a r e n t s o u l feat. Travis Barker;WILLOW;['afrofuturism', 'dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop'];85;0.39;0.83;0.191;1;0
99;Clash (feat. Stormzy);Dave;['uk hip hop'];79;0.871;0.519;0.532;1;0
100;Before You Go;Lewis Capaldi;['pop', 'uk pop'];83;0.459;0.575;0.183;1;0
101;Levitating;Dua Lipa;['dance pop', 'pop', 'uk pop'];89;0.702;0.825;0.915;2;0
104;Believer;Imagine Dragons;['modern rock', 'pop', 'rock'];86;0.776;0.78;0.666;2;0
105;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;['pop rap', 'rap', 'trap'];82;0.799;0.66;0.471;1;0
106;Talking to the Moon;Bruno Mars;['dance pop', 'pop', 'post-teen pop'];83;0.523;0.606;0.65;2;0
107;Roses - Imanbek Remix;SAINt JHN;['melodic rap', 'pop rap', 'rap', 'slap house', 'trap'];72;0.769;0.719;0.863;2;0
108;Sal y Perrea;Sech;['latin', 'panamanian pop', 'reggaeton', 'trap latino'];86;0.786;0.899;0.813;2;0
109;Fulanito;Becky G, El Alfa;['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino'];86;0.93;0.837;0.821;2;0
111;lovely (with Khalid);Billie Eilish;['electropop', 'pop'];86;0.351;0.296;0.12;1;0
113;double take;dhruv;['chill r&b', 'nyc pop'];86;0.663;0.434;0.225;1;0
114;Streets;Doja Cat;['dance pop', 'pop'];86;0.749;0.463;0.189;1;0
115;By Your Side (feat. Tom Grennan);Calvin Harris;['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance'];85;0.733;0.96;0.811;2;0
116;MORENA;Luan Santana;['sertanejo', 'sertanejo pop', 'sertanejo universitario'];85;0.526;0.731;0.476;1;0
117;Shape of You;Ed Sheeran;['pop', 'uk pop'];85;0.825;0.652;0.931;2;0
118;Señorita;Shawn Mendes, Camila Cabello;['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop'];82;0.759;0.54;0.75;2;0
120;Perfect;Ed Sheeran;['pop', 'uk pop'];86;0.599;0.448;0.168;1;0
121;2:50 Remix;MYA, TINI, Duki;['latin pop'];85;0.818;0.812;0.844;2;0
122;LA NOCHE DE ANOCHE;Bad Bunny, ROSALÍA;['latin', 'reggaeton', 'trap latino'];86;0.856;0.618;0.391;1;0
123;ROCKSTAR (feat. Roddy Ricch);DaBaby;['north carolina hip hop', 'rap'];86;0.746;0.69;0.497;1;0
124;Heather;Conan Gray;['alt z', 'bedroom pop', 'electropop', 'indie pop', 'pop', 'post-teen pop'];86;0.357;0.425;0.27;1;0
126;The Nights;Avicii;['dance pop', 'edm', 'pop', 'pop dance'];85;0.527;0.835;0.654;2;0
127;Riptide;Vance Joy;['folk-pop', 'modern rock', 'pop', 'pop rock'];78;0.484;0.731;0.51;2;0
128;Smells Like Teen Spirit;Nirvana;['grunge', 'permanent wave', 'rock'];77;0.502;0.912;0.72;2;0
129;enough for you;Olivia Rodrigo;['pop'];86;0.638;0.259;0.269;1;0
130;Daddy Issues;The Neighbourhood;['modern alternative rock', 'modern rock', 'pop'];85;0.588;0.521;0.337;1;0
132;Miss The Rage (feat. Playboi Carti);Trippie Redd;['melodic rap', 'rap', 'trap'];85;0.584;0.859;0.369;1;0
133;Memories;Maroon 5;['pop', 'pop rock'];85;0.775;0.327;0.595;1;0
134;Another Love;Tom Odell;['pop'];67;0.445;0.537;0.131;1;0
135;Here's Your Perfect;Jamie Miller;['pop soul'];85;0.558;0.454;0.424;1;0
137;Little Bit of Love;Tom Grennan;['modern rock', 'uk pop'];80;0.689;0.706;0.623;2;0
138;Ficha Limpa;Gusttavo Lima;['sertanejo', 'sertanejo universitario'];85;0.774;0.732;0.734;2;0
139;Up;Cardi B;['dance pop', 'pop', 'pop rap', 'rap'];83;0.868;0.795;0.819;2;0
140;Hawái;Maluma;['latin', 'reggaeton', 'reggaeton colombiano'];77;0.766;0.788;0.609;2;0
141;New Normal;Khalid;['pop'];79;0.39;0.534;0.244;1;0
142;Bohemian Rhapsody - Remastered 2011;Queen;['classic rock', 'glam rock', 'rock'];74;0.392;0.402;0.228;1;0
143;Bandido;Myke Towers, Juhn;['trap latino'];85;0.713;0.617;0.682;2;0
144;Paradise (feat. Dermot Kennedy);MEDUZA;['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house'];85;0.632;0.595;0.435;1;0
145;goosebumps;Travis Scott;['rap', 'slap house'];87;0.841;0.593;0.808;2;0
146;Wasted Love (feat. Lagique);Ofenbach;['edm', 'new french touch', 'pop dance', 'tropical house'];85;0.734;0.855;0.54;2;0
147;KESI - Remix;Camilo, Shawn Mendes;['colombian pop', 'reggaeton colombiano'];83;0.871;0.815;0.823;2;0
148;Shallow;Lady Gaga, Bradley Cooper;['dance pop', 'pop', 'post-teen pop'];83;0.572;0.385;0.323;1;0
149;Tell Em;Cochise, $NOT;['plugg', 'vapor trap', 'viral rap'];85;0.672;0.717;0.473;1;0
151;Counting Stars;OneRepublic;['dance pop', 'piano rock', 'pop', 'pop rock'];74;0.664;0.705;0.477;1;0
152;Yellow;Coldplay;['permanent wave', 'pop'];85;0.429;0.661;0.285;1;0
155;Wake Me Up;Avicii;['dance pop', 'edm', 'pop', 'pop dance'];84;0.532;0.783;0.643;2;0
156;Baby Me Atende;Matheus Fernandes, Dilsinho;['forro', 'sertanejo pop'];83;0.65;0.792;0.872;2;0
158;What You Know Bout Love;Pop Smoke;['brooklyn drill'];85;0.709;0.548;0.543;1;0
159;Runaway;AURORA;['art pop', 'norwegian pop'];77;0.521;0.277;0.13;1;0
160;Red Light Green Light;DaBaby;['north carolina hip hop', 'rap'];84;0.933;0.656;0.934;2;0
161;Ball If I Want To;DaBaby;['north carolina hip hop', 'rap'];84;0.902;0.669;0.628;2;0
162;Lucid Dreams;Juice WRLD;['chicago rap', 'melodic rap'];85;0.511;0.566;0.218;1;0
163;Calling My Phone;Lil Tjay, 6LACK;['brooklyn drill', 'melodic rap', 'nyc rap'];85;0.907;0.393;0.202;1;0
166;Cover Me In Sunshine;P!nk, Willow Sage Hart;['dance pop', 'pop', 'post-teen pop'];83;0.476;0.594;0.314;1;0
167;For The Night (feat. Lil Baby & DaBaby);Pop Smoke;['brooklyn drill'];84;0.823;0.586;0.347;1;0
168;1 step forward, 3 steps back;Olivia Rodrigo;['pop'];85;0.473;0.203;0.419;1;0
169;WAP (feat. Megan Thee Stallion);Cardi B;['dance pop', 'pop', 'pop rap', 'rap'];84;0.935;0.454;0.357;1;0
170;Mr. Brightside;The Killers;['dance rock', 'modern rock', 'permanent wave', 'rock'];75;0.356;0.924;0.232;1;0
171;Every Breath You Take;The Police;['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock'];83;0.82;0.452;0.74;2;0
172;Dreams - 2004 Remaster;Fleetwood Mac;['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'];84;0.828;0.492;0.789;2;0
173;Say You Won't Let Go;James Arthur;['pop', 'post-teen pop', 'talent show', 'uk pop'];84;0.358;0.557;0.494;1;0
174;Wild Side (feat. Cardi B);Normani;['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary'];75;0.74;0.576;0.315;1;0
175;Bout A Million (feat. 42 Dugg & 21 Savage);Pop Smoke;['brooklyn drill'];81;0.716;0.67;0.411;1;0
176;Demeanor (feat. Dua Lipa);Pop Smoke;['brooklyn drill'];81;0.675;0.608;0.728;2;0
177;death bed (coffee for your head);Powfu, beabadoobee;['sad rap'];85;0.726;0.431;0.348;1;0
178;Our Song;Anne-Marie, Niall Horan;['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop'];83;0.595;0.759;0.515;2;0
179;Another One Bites The Dust - Remastered 2011;Queen;['classic rock', 'glam rock', 'rock'];74;0.933;0.528;0.756;2;0
180;One Dance;Drake, WizKid, Kyla;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];84;0.792;0.625;0.37;1;0
181;Adore You;Harry Styles;['pop', 'post-teen pop'];84;0.676;0.771;0.569;2;0
183;Fancy Like;Walker Hayes;['contemporary country', 'country', 'country road', 'modern country rock'];83;0.649;0.76;0.843;2;0
184;Cúrame;Rauw Alejandro;['puerto rican pop', 'trap latino'];85;0.765;0.625;0.262;1;0
185;All of Me;John Legend;['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary'];84;0.422;0.264;0.331;1;0
186;Martin & Gina;Polo G;['chicago rap'];85;0.832;0.534;0.116;1;0
188;Best Friend (feat. Doja Cat);Saweetie;['cali rap', 'dance pop', 'pop', 'pop rap', 'trap queen'];83;0.84;0.766;0.402;1;0
189;The Hills;The Weeknd;['canadian contemporary r&b', 'canadian pop', 'pop'];84;0.585;0.564;0.137;1;0
190;Good Days;SZA;['pop', 'pop rap', 'r&b'];84;0.436;0.655;0.412;1;0
191;Kiss My (Uh Oh);Anne-Marie, Little Mix;['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop'];78;0.638;0.878;0.481;2;0
192;De Museo;Bad Bunny;['latin', 'reggaeton', 'trap latino'];83;0.592;0.494;0.231;1;0
193;7 rings;Ariana Grande;['dance pop', 'pop', 'post-teen pop'];85;0.778;0.317;0.327;1;0
195;Não Nasceu pra Namorar;MC Zaquin, MC Rick;['funk bh', 'funk carioca'];84;0.525;0.448;0.527;1;0
196;Breaking Me;Topic, A7S;['dance pop', 'edm', 'german dance', 'pop dance', 'pop edm', 'tropical house'];84;0.789;0.72;0.664;2;0
197;penhasco.;Luísa Sonza;['funk carioca', 'pop nacional'];80;0.43;0.467;0.382;1;0
198;Late At Night;Roddy Ricch;['melodic rap', 'rap', 'trap'];84;0.643;0.403;0.111;1;0
199;Verdansk;Dave;['uk hip hop'];77;0.961;0.502;0.536;1;0
200;The Real Slim Shady;Eminem;['detroit hip hop', 'hip hop', 'rap'];84;0.949;0.661;0.76;2;0
201;Tell The Vision (feat. Kanye West & Pusha T);Pop Smoke;['brooklyn drill'];57;0.662;0.686;0.678;2;0
202;Woo Baby (feat. Chris Brown);Pop Smoke;['brooklyn drill'];56;0.563;0.672;0.284;1;0
203;Holy Smokes;Trippie Redd, Lil Uzi Vert;['melodic rap', 'rap', 'trap'];79;0.437;0.527;0.701;2;0
204;More Time;Pop Smoke;['brooklyn drill'];55;0.628;0.581;0.259;1;0
205;Coupe;Pop Smoke;['brooklyn drill'];54;0.912;0.589;0.486;1;0
206;Holiday;KSI;['uk hip hop'];81;0.356;0.684;0.347;1;0
208;Genius (feat. Lil Tjay & Swae Lee);Pop Smoke;['brooklyn drill'];53;0.723;0.667;0.396;1;0
209;WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign);Tyler, The Creator;['hip hop', 'rap'];84;0.493;0.653;0.852;2;0
210;Sommergewitter;Pashanim;['german alternative rap', 'german drill', 'german hip hop', 'german trap'];84;0.787;0.531;0.721;2;0
211;Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo];Tion Wayne, Russ Millions;['london rap'];84;0.883;0.674;0.73;2;0
212;Brush Em (feat. Rah Swish);Pop Smoke;['brooklyn drill'];54;0.654;0.724;0.717;2;0
213;AM;Nio Garcia, Flow La Movie;['latin', 'reggaeton', 'trap latino'];85;0.83;0.517;0.616;2;0
